2, 8, 19 ,3.500, 1.000,    0.339, 0.433, 0.408, 0.350,    -0.058
2, 8, 19 ,3.500, 1.150,    0.351, 0.441, 0.421, 0.358,    -0.063
2, 8, 19 ,3.500, 1.300,    0.334, 0.437, 0.412, 0.334,    -0.078
2, 8, 19 ,3.500, 1.450,    0.349, 0.458, 0.437, 0.362,    -0.075
2, 8, 19 ,3.500, 1.600,    0.341, 0.457, 0.445, 0.362,    -0.083
2, 8, 19 ,3.500, 1.750,    0.337, 0.467, 0.451, 0.370,    -0.081
2, 8, 19 ,3.500, 1.900,    0.317, 0.455, 0.429, 0.362,    -0.068
2, 8, 19 ,3.500, 2.050,    0.321, 0.461, 0.437, 0.374,    -0.063
2, 8, 19 ,3.500, 2.200,    0.315, 0.451, 0.436, 0.370,    -0.066
2, 8, 19 ,3.500, 2.350,    0.314, 0.436, 0.416, 0.360,    -0.056
2, 8, 19 ,3.700, 1.000,    0.351, 0.432, 0.394, 0.351,    -0.043
2, 8, 19 ,3.700, 1.150,    0.369, 0.476, 0.448, 0.369,    -0.079
2, 8, 19 ,3.700, 1.300,    0.371, 0.466, 0.443, 0.371,    -0.071
2, 8, 19 ,3.700, 1.450,    0.345, 0.439, 0.415, 0.352,    -0.063
2, 8, 19 ,3.700, 1.600,    0.342, 0.453, 0.425, 0.356,    -0.069
2, 8, 19 ,3.700, 1.750,    0.345, 0.463, 0.441, 0.383,    -0.058
2, 8, 19 ,3.700, 1.900,    0.345, 0.466, 0.445, 0.379,    -0.066
2, 8, 19 ,3.700, 2.050,    0.331, 0.461, 0.429, 0.371,    -0.058
2, 8, 19 ,3.700, 2.200,    0.335, 0.465, 0.441, 0.380,    -0.061
2, 8, 19 ,3.700, 2.350,    0.322, 0.452, 0.427, 0.370,    -0.057
2, 8, 19 ,3.900, 1.000,    0.343, 0.446, 0.401, 0.343,    -0.058
2, 8, 19 ,3.900, 1.150,    0.338, 0.416, 0.379, 0.346,    -0.033
2, 8, 19 ,3.900, 1.300,    0.365, 0.437, 0.403, 0.365,    -0.038
2, 8, 19 ,3.900, 1.450,    0.358, 0.451, 0.409, 0.358,    -0.051
2, 8, 19 ,3.900, 1.600,    0.364, 0.455, 0.417, 0.371,    -0.045
2, 8, 19 ,3.900, 1.750,    0.337, 0.448, 0.416, 0.361,    -0.055
2, 8, 19 ,3.900, 1.900,    0.334, 0.457, 0.422, 0.382,    -0.041
2, 8, 19 ,3.900, 2.050,    0.332, 0.457, 0.417, 0.373,    -0.045
2, 8, 19 ,3.900, 2.200,    0.338, 0.459, 0.423, 0.381,    -0.042
2, 8, 19 ,3.900, 2.350,    0.337, 0.465, 0.435, 0.386,    -0.049
2, 8, 24 ,1.900, 1.000,    0.218, 0.399, 0.339, 0.267,    -0.071
2, 8, 24 ,1.900, 1.150,    0.214, 0.389, 0.323, 0.286,    -0.037
2, 8, 24 ,1.900, 1.300,    0.208, 0.367, 0.266, 0.279,    0.013
2, 8, 24 ,1.900, 1.450,    0.209, 0.398, 0.297, 0.316,    0.019
2, 8, 24 ,1.900, 1.600,    0.195, 0.374, 0.253, 0.299,    0.047
2, 8, 24 ,1.900, 1.750,    0.200, 0.390, 0.259, 0.315,    0.056
2, 8, 24 ,1.900, 1.900,    0.194, 0.385, 0.256, 0.318,    0.062
2, 8, 24 ,1.900, 2.050,    0.180, 0.344, 0.222, 0.272,    0.049
2, 8, 24 ,1.900, 2.200,    0.169, 0.315, 0.208, 0.253,    0.045
2, 8, 24 ,1.900, 2.350,    0.170, 0.308, 0.195, 0.239,    0.045
2, 8, 24 ,1.900, 2.500,    0.163, 0.298, 0.184, 0.236,    0.052
2, 8, 24 ,1.900, 2.650,    0.150, 0.288, 0.176, 0.227,    0.050
2, 8, 24 ,1.900, 2.800,    0.149, 0.279, 0.173, 0.215,    0.042
2, 8, 24 ,1.900, 2.950,    0.144, 0.274, 0.163, 0.208,    0.044
2, 8, 24 ,2.100, 1.000,    0.227, 0.369, 0.327, 0.278,    -0.049
2, 8, 24 ,2.100, 1.150,    0.221, 0.390, 0.332, 0.273,    -0.059
2, 8, 24 ,2.100, 1.300,    0.217, 0.398, 0.339, 0.298,    -0.041
2, 8, 24 ,2.100, 1.450,    0.212, 0.374, 0.274, 0.293,    0.019
2, 8, 24 ,2.100, 1.600,    0.210, 0.393, 0.299, 0.315,    0.016
2, 8, 24 ,2.100, 1.750,    0.198, 0.366, 0.257, 0.294,    0.037
2, 8, 24 ,2.100, 1.900,    0.206, 0.384, 0.260, 0.303,    0.044
2, 8, 24 ,2.100, 2.050,    0.206, 0.403, 0.272, 0.331,    0.059
2, 8, 24 ,2.100, 2.200,    0.184, 0.384, 0.243, 0.305,    0.062
2, 8, 24 ,2.100, 2.350,    0.182, 0.352, 0.227, 0.286,    0.059
